round,trial,score,vs_left,action,win_probability,win_low,win_high,conv_low,conv_high
1,2,6,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,6,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,6,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,6,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,7,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,7,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,7,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,7,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,8,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,8,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,8,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,8,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,9,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,9,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,9,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,9,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,10,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,10,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,10,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,10,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,11,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,11,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,11,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,11,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,12,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,12,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,12,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,12,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,13,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,13,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,13,2,large,0.45976345969619337,70.0,100.0,60,70
1,2,13,3,large,0.45976345969619337,70.0,100.0,60,70
1,2,14,0,large,0.45976345969619337,70.0,100.0,60,70
1,2,14,1,large,0.45976345969619337,70.0,100.0,60,70
1,2,14,2,large,0.45976345969619337,70.0,100.0,60,70
